id,content,author,created_at,media,planets2,extended_content,anomaly,faction
18,"Hey guys, new update -> you can now create semi-interactive post cards based on your planet! Check out the demo section on your chosen planet",cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-07-14 02:14:11+00,"[""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1689300823303cebdc7a2-d8af-45b3-b37f-80f328ff54d6Screenshot 2023-07-14 121008.png"",""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1689300825883cebdc7a2-d8af-45b3-b37f-80f328ff54d6b9206f25-ec0e-47c0-9006-65acce26b072.png""]",45,,,
20,"It’s gold and black and seems to have a large moon or it is a moon, and looks to be made up of gases ",fdccaca9-0b18-4e14-9ca8-75c9d69ccd43,2023-08-15 21:08:02.732728+00,[],61,,,
21,,,2023-08-15 22:43:12.782703+00,[],,,,
22,"This planet seems highly volatile, clouds of sulfuric gas stream through the sky, similar to Venus",8b09080f-1306-4ca7-b3b4-b284f047669e,2023-08-19 00:48:02.424374+00,[],61,,,
23,"This star has no dimmed light over time, brightness remains constant, likely not a planet candidate",8b09080f-1306-4ca7-b3b4-b284f047669e,2023-08-19 00:56:18.23917+00,[],60,,,
25,"Strong likelihood of planetary system orbiting a star, normalized flux decreases by .007 avg at a phase of .75",8b09080f-1306-4ca7-b3b4-b284f047669e,2023-08-19 01:13:27.319435+00,[],58,,,
26,"The planent orbiting this star is BIG and FAST. Flux disappears over time, with frequent lightcurve fluxuation.",8b09080f-1306-4ca7-b3b4-b284f047669e,2023-08-19 01:26:10.545105+00,[],51,,,
27,Planetary system not likely,8b09080f-1306-4ca7-b3b4-b284f047669e,2023-08-19 02:08:21.684764+00,[],48,,,
44,Likely that there's a planet here - consistent dip and rise with the lightcurve,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-08-29 06:28:50.926897+00,[],49,,,
45,That U shape dip is a textbook sign for a likely planet right?,83ec2c02-0ece-4be3-a714-9cd5ca5c10b2,2023-08-29 12:48:25.667816+00,[],58,,,
49,Data suggests that there is an exoplanet orbiting around this star formation,8b09080f-1306-4ca7-b3b4-b284f047669e,2023-09-08 04:57:02.615125+00,[],51,,,
50,I see no propensity from the data that suggests there is a planet in orbit,8b09080f-1306-4ca7-b3b4-b284f047669e,2023-09-08 05:06:34.631573+00,[],47,,,
51,I see no propensity from the data that suggests there is a planet in orbit,8b09080f-1306-4ca7-b3b4-b284f047669e,2023-09-08 05:06:37.155871+00,[],47,,,
52,Wave in the lightcurve suggest a possibility of planet in orbit,8b09080f-1306-4ca7-b3b4-b284f047669e,2023-09-08 05:08:50.706801+00,[],50,,,
53,Wave in the lightcurve suggest a possibility of planet in orbit,8b09080f-1306-4ca7-b3b4-b284f047669e,2023-09-08 05:08:52.309907+00,[],50,,,
54,"FINDINGS: PLANET HAS SIGNS OF WATER, POSSIBILITY IT IS VIABLE FOR LIFE",de191534-352f-4136-bac5-391ff940ec09,2023-09-10 03:21:01.710595+00,[],62,,,
56,"FINDINGS: HIGH TEMPERATURES, POSSIBLY SULFUR BASED",de191534-352f-4136-bac5-391ff940ec09,2023-09-10 03:27:38.633995+00,[],59,,,
57,FINDINGS: PLANET IS A CLASSIFIED EXOPLANET WITH HABITABLE CONDITIONS,de191534-352f-4136-bac5-391ff940ec09,2023-09-10 03:39:09.632433+00,[],51,,,
58,"FINDINGS: ""KOI-4878.01 is an exoplanet candidate that orbits the F-type main-sequence star KOI-4878. It is located about 1075 light years (329 parsecs) from Earth."" HIGHLY POSSIBLE VIABLE FOR LIFE",de191534-352f-4136-bac5-391ff940ec09,2023-09-10 03:45:14.614959+00,[],50,,,
59,"FINDINGS: [TIC 172900988] A Transiting Circumbinary Planet Detected ""An exoplanet planet about as big around as Jupiter belongs to a system that’s a stunner. The planet orbits two stars and, viewed from Earth, crosses the faces of both.""",de191534-352f-4136-bac5-391ff940ec09,2023-09-10 05:29:47.679506+00,[],58,,,
60,"FINDINGS: [Kepler-22] a Sun-like star in the northern constellation of Cygnus, the swan, that is orbited by a planet found to be unequivocally within the star's habitable zone. (Cygnus being located within the Milky Way Galaxy)",de191534-352f-4136-bac5-391ff940ec09,2023-09-10 08:00:44.549033+00,[],47,,,
61,"FINDINGS: [TIC 257060897-b] is a gas giant exoplanet that orbits an F-type star. Its mass is 0.67 Jupiters, it takes 3.7 days to complete one orbit of its star, and is 0.051 AU from its star (Similar to JUPITER in physical appearance)",de191534-352f-4136-bac5-391ff940ec09,2023-09-10 08:04:09.241156+00,[],61,,,
62,"According to Exofop, this lightcurve does refer to a very well-known confirmed exoplanet. The repeated dips in the phase-folded ( & binned ) graph show that there's a regularly orbiting body around the parent star.",cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-09-12 05:56:02.914888+00,[],48,,,
63,the Light curve data of KOI-5737 shows a somewhat definitive presence of an exoplanet.,e3344c5c-384f-4898-aea6-397c2ac1edf6,2023-09-14 12:17:33.168438+00,[],51,,,
64,This shows a definitive pattern of Light interaction from an exoplanet when viewing KOI-4871,e3344c5c-384f-4898-aea6-397c2ac1edf6,2023-09-14 12:19:31.63374+00,[],50,,,
65,"Although the binned data shows very minimal likelihood through a tiny noticeable pattern, however, it is not consistently measurable - the phase folded data does show some formality to light interference of some kind of space anomaly. - Kepler-22 requires more data before confirmation - however it seems it could be a potential and should not be ruled out",e3344c5c-384f-4898-aea6-397c2ac1edf6,2023-09-14 12:24:17.948333+00,[],47,,,
76,The data shows a very distinct dip in light. Once the data has been Phase folded this is further confirmed.,e3344c5c-384f-4898-aea6-397c2ac1edf6,2023-09-27 13:59:19.705502+00,[],64,,,
77,"This shows a fair likelihood of a planet being present, a  consistent pattern right across the light curve data.",e3344c5c-384f-4898-aea6-397c2ac1edf6,2023-09-27 14:00:53.274331+00,[],49,,,
78,"As seen in the jupyter snippet where the period is set (which can be observed in the binned data, allowing us to phase fold the dips to showcase a potential/likely transit event), we have a consistent dipping occur over a period of ~30 days, with a similar amount of light being blocked out each time. This body is likely to be extremely close to its parent star and as such will likely be tidally locked.",cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-09-28 13:21:44.966445+00,"[""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1695907182769cebdc7a2-d8af-45b3-b37f-80f328ff54d665Binned.png"",""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1695907220249cebdc7a2-d8af-45b3-b37f-80f328ff54d6Screenshot 2023-09-28 at 11.20.03 pm.png""]",65,,,
79,"As seen in the Lightkurves, there's a repeating dip every ~1.5 days, starting around day 1326. When we phase fold the sector in Jupyter, we get a consistent normalised flux of around 0.97 at day 0.0 (JD phase)",cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-11-26 08:55:43.994937+00,[],64,,,
85,Test,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2024-01-11 12:15:50.169524+00,"[""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1704975349315cebdc7a2-d8af-45b3-b37f-80f328ff54d6Frame 1000002890.png""]",,,1,1
